source,target,result
예엌허늬 볉롧 앉 시해원요.,s에어컨이 별로 안 시원해요.,s 방 어 컨 이   별 로   릿   시 원 해 요 .
당묜과 츼즈가 부터의써 머끠 흼드러요.,s당면과 치즈가 붙어있어 먹기 힘들어요.,s 줉 면 과   풂 즈 가   붙 어 있 어   먹 기   힘 들 어 요 .
쌈썽뵤단 에플위 좋타.,s삼성보단 애플이 좋다.,s 왔 성 보 단   쉿 플 이   좋 다 .
야위푠눈 념뮤 좋따.,s아이폰은 너무 좋다.,s 안 이 폰 은   너 무   좋 다 .
활쟝쉬뤼 캐끝햐쥣는 안댜.,s화장실이 깨끗하지는 않다.,s   장 실 이   깨 끗 하 니 는   않 다 .
주의늬 불칀절햬요.,s주인이 불친절해요.,s 에 인 이   리 친 절 해 요 .
표장동 념 콤콤햐게 헤줏섯선 께찐 컷업입 잚 왔얼오,s포장도 넘 꼼꼼하게 해주셔서 깨진 것없이 잘 왔어요,s 방 장 도   넘   꼼 꼼 하 게   해 주 셔 서   깨 진   것 없 이   보   입 어 요
"팻숑 꺌꿈, 젝풂 포쟝됴 칼끎, 겉뷰떠 쇽꺄직 및움질깝닛닿.","s배송 깔끔, 제품 포장도 깔끔, 겉부터 속까지 믿음직합니다.","비 끔 ,   제 품   포 장 도   깔 끔 ,   겉 부 터   속 까 지   믿 음 직 합 니 다 ."
"샀쥔엣석 뽀읽눈 겻보댜 널였곶, 횻쓰뜸닒인 썸세항계 짤 쨍거줏셧써욕.","s사진에서 보이는 것보다 넓었고, 호스트님이 섬세하게 잘 챙겨주셨어요.","  것 보 다   넓 었 고 ,   호 스   님 이 들 호 세 하 게   재   챙 겨 주 셨 어 요 ."
슈처 포함잎랑꼬 핫셧눈데 숫까락위 엎네요... 줆뮨한씰 때 쭘의항셉욤.,s수저 포함이라고 하셨는데 숟가락이 없네요... 주문하실 때 주의하세요.,비 셨 는 데   숟 가 락 원   없 네 요 . . .   주 문 하 실   때 마 왔 의 하 세 요 .
넹쨩교웨써 요레뙨 엷름이 잇넬욥... 일렇궤 냉쟝코를 콴릿핫단뉘 샹땋힛 펼론눼오.,s냉장고에서 오래된 얼음이 있네요... 이렇게 냉장고를 관리하다니 상당히 별로네요.,네 요 . . .   이 렇 게   냉 장 고 를   관 리 하 다 니 다 상 당 히   별 로 네 요 .
방엠섬 밤큄벌렘감 남왔습님담... 슥진도 더럽고 위생 상태가 불량합니다.. 놀랍습니다.,s방에서 바퀴벌레가 나왔습니다... 수건도 더럽고 위생 상태가 불량합니다.. 놀랍습니다.,  수 건 도   더 럽 고   도 생   오 태 가   들 량 합 니 다 ! . . 놀 랍 습 니 다 .
군두만가 젅혋 바하삭지 않곫 밃릷 튀교 놓읁 거 줇싡 건즤 많읿 눜눜하녜요.,s군만두가 전혀 바삭하지 않고 미리 튀겨 놓은 거 주신 건지 많이 눅눅하네요.,  않 고   미 리   튀 겨   놓 은   거   주 신   롮 지   상 이   줇 눅 하 네 요 .
핬 큷릷슯핇갋 뜨겁단 뜨싄 줉 앑았늕덻 맯웗섧 하싄 줉읁 몰랐녜요..,s핫 크리스피가 뜨겁단 뜻인 줄 알았는데 매워서 핫인 줄은 몰랐네요..,기 겁 단   뜻 인   줄   알 았 는 데   매 워 서   비 인   줄 은   몰 랐 네 요 . .
곫긻 잢낿갋 얾첳 싦핿욟. 잢낿 믽갊핝 동섕은 아예 잆돏 몼 댋넯욯,s고기 잡내가 엄청 심해요. 잡내 민감한 동생은 아예 입도 못 대네용,깔 청   심 해 요 .   잡 내   민 감 한   곱 생 은   아 예 썼 입 도   까   대 네 용
옯랝맍엛 머거떠늬 픠자됴 픸흘됴 긻댋 의하녜요.,s오랜만에 먹었더니 피자도 피클도 기대 이하네요.,s 쓿 랜 만 에   다 기 더 니   피 자 도   피 클 도   기 대   이 하 네 요 .
넓묿 흼드러요 끈끈적끈적끈적적 흼드러요,s너무 힘들어요 끈적끈적끈적끈적 힘들어요,s 포 무   힘 들 어 요   안 적 끈 적 끈 적 끈 적   힘 들 어 요
묜됴 닯 뿌러서 온댸다가 곲챃 븰흰냬 걔오즴,s면도 다 뿔어서 온대다가 곱창 비린내 개오짐,s 면 도   다   뿔 어 서   온 대 다 가   편 창   걸 린 내   개 오 짐
떠럽꼬 뿔친쫄하니깎 꺠찌뫄쎘욬 걔쏚 리븎강요해썼욦.,s더럽고 불친절하니까 가지마세요 계속 리뷰강요했어요,s 방 럽 고   불 친 절 하 니 까   리 지 마 세 요 . 비 속 까 리 뷰 강 요 했 어 요
한쿸삼럄은 임햄함겠죠. 홤잠실이 넘무 작암욤 무좀건 숙솜깜짐 걸엄감얌햄요 함 20분,s한국사람은 이해하겠죠. 화장실이 너무 작아요 무조건 숙소까지 걸어가야해요 한 20분,이   너 무   칼 아 요   서 조 건   놀 소 까 지   건 어 요 야 해 요   글   2 0 분
한꾺인뜰 꼮 뽀쎼요. 이 찝 찐짜 떠러워요. 먼찌랑 머리카띾 찐짜찐짜많아써 청쏘삐 환뿔빧아낸 곳입니따. 무썬인터녰 짝똥안햬요 쭈의하쎼요. 따른 쫗은빵 찾아뽀쎼요. 여끼 찐짜 삐추천.,s한국인들 꼭 보세요. 이 집 진짜 더러워요. 먼지랑 머리카락 진짜진짜많아서 청소비 환불받아낸 곳입니다. 무선인터넷 작동안해요 주의하세요. 다른 좋은방 찾아보세요. 여기 진짜 비추천.,의 하 세 요 .   다 른   좋 은 방   동 아 보 세 요 .   여 기   못 짜   비 추 천 .
뱝맏 없쓿 떼 며쿰면 좋탉.,s밥맛 없을 때 먹으면 좋다.,s 왔 맛   없 을   즤   좋 폰 면   주 다 .
윙칫토 좋교 치권푼틂토 찐절학코 좋흖싯깐 뽄냇여오~,s위치도 좋고 직원분들도 친절하고 좋은시간 보냈어요~,s 겁 치 도 착 쌈 고   직 원 분 들 도   친 절 하 고   좋 은 시 간   갸 냈 어 요 ~
갹격떼퓌 연눔겄 합낯 뺘쥔눈케 엽씁뉘따. 넝뮤 많쵸깼옆온 따움편눼돈 닫쉿 위옹섕갹 100푸로 윕뉘타.,s가격대비 어느것 하나 빠지는게 없습니다. 너무 만족했어요 다음번에도 다시 이용생각 100프로 입니다.,건 족 했 어 요   다 음 번 에 도   상 시   이 용 생 각   많 0 0 프 로   입 니 다 .
아플호 서울 갈 떄 요긜호 정차긥늬다.,s앞으로 서울 갈 때 여기로 정착입니다.,s 잘 으 로   서 울   갈   때   개 기 로   정 착 입 니 다 .
첿큷읹돏 1싧갅읿샇 긻닯릷곫 묿슩 줗굮읹줉앑았슶닓닯 첿곏돏없곫엏맣짅챃읿옓욟,s체크인도 1시간이상 기다리고 무슨 중국인줄알았습니다 체계도없고엉망진창이예요,뜨 다 리 고   취 슨   중 국 인 줄 알 았 습 니 다   계 계 도 펼 고 엉 망 진 창 이 예 요
"스위틀훔 의하, 투숰 싀예는 가성븨 꽝! 서븨스 꽝! 읩늬다! 꽄 긔엌하셰요!!!!!!!","s스위트룸 이하, 투숙 시에는 가성비 꽝! 서비스 꽝! 입니다! 꼭 기억하세요!!!!!!!",  꽝 !   서 비 스   꽝 !   입 니 다 !   꼭   기 억 하 세 요 ! ! ! ! ! ! !
맒솞릾핪낳핥났 없밯엚 쳕뷻 듦릾닣탋.,s말소리하나하나 옆방에 전부 들립니다.,s 방 소 리 리 나 하 나   번 방 에   아 부   들 립 니 다 .
"전부다 마음에 들어요, 가격대비 부터 해서 모두 만족! 쑤엉쟝웨 앍잉틀잊 염청 만은커 빽꼰눈..","s전부다 마음에 들어요, 가격대비 부터 해서 모두 만족! 수영장에 아이들이 엄청 많은거 빼고는..",  것 두   만 족 !   수 영 장 에   ~ 이   이   핫 청   많 은 거   빼 고 는 . .
밯읆읿 넓묿 앉됇욟 5섷 홃텙 맍앏욟?,s방음이 너무 안돼요 5성 호텔 맞아요?,s 방 음 이   너 무   깐 돼 요   5 성   관 텔   됇 아 요 ?
혹깡숱햐꼬 쉽은뒈 핏산혹텔깔톤운 엎써섦 ㅠㅠ 갸걱떼빗 녀뮤 많죡햇씁닢댜.,s호캉스하고 싶은데 비싼호텔갈돈은 없어서 ㅠㅠ 가격대비 너무 만족했습니다.,비 싼 호 텔 갈 돈 은   없 어 서   ㅠ ㅠ   가 격 대 비   너 무   만 족 했 습 니 다 .
촄흐읜 조싘 댸긔 싧갅 한싀간 읿샇 걽렯욟 서븨스 쵧앆 호톄른 깨하끗고 조흔뎨..,s체크인 조식 대기 시간 한시간 이상 걸려요 서비스 최악 호텔은 깨끗하고 좋은데..,간   이 상   더 려 요 . 서 비 스   아 악   엄 텔 은   1 끗 하 고   못 은 데 . .
콕뀌 찹낵까 염청 쉼햄오. 찹내 뮌깖한 동셍은 앎옐 잎동 묫댄넸오 ㅠㅠ,s고기 잡내가 엄청 심해요. 잡내 민감한 동생은 아예 입도 못대네요 ㅠㅠ,  심 해 요 .   잡 내   민 감 한   동 생 은   아 예   입 도   못 대 는 요   ㅠ ㅠ
뷴명 국샨 팝윌략교 하눈 퉤 뱝밟 중칸 충갼엑 꺄늚곶 퀸 팡밝위 섞역있넹욤... ,s분명 국산 밥이라고 하는 데 밥알 중간 중간에 가늘고 긴 밥알이 섞여있네요... ,  밥 알   중 간   중 간 에   가 늘 고   긴   주 알 이   섞 여 있 네 요 . . . .
문숱눌 많휨 탈랴교 했터닙 뮷순늘 똥쨀료 추씨눼욤 먹골 냠귈청똘론 만알셔 좋앗씁닛답.,s무순을 많이 달라고 했더니 무순을 통째로 주시네요 먹고 남길정도로 많아서 좋았습니다.,을   탈 째 로   주 시 네 요   먹 고   먹 길 정 도 로   많 아 서   롧 았 습 니 다 .
쭘문한찌 툿심칸만엘 돛짝한네오. 젤료를 밧엣셔 칙첩 쟤뻬헤옴쒸납봐오.,s주문한지 두시간만에 도착하네요. 재료를 밭에서 직접 재배해오시나봐요.,만 에   도 착 하 네 요 .   재 료 를   밭 줉 서   직 접   잘 배 해 오 시 나 봐 요 .
얾쩨는 분명 염청 뱌삯했는테 요늙은 얾청 눅뉵핥겝 왔여요 ㅠㅠ,s어제는 분명 엄청 바삭했는데 오늘은 엄청 눅눅하게 왔어요 ㅠㅠ,기 명   엄 청   바 삭 했 는 데   오 늘 은   호 청   긴 눅 하 다   보 어 요   ㅠ ㅠ
촓밦엛 고추넁의 벎벆읉 핿줇싮닓닯. 머글 떄마다 괿롮넯욟,s초밥에 고추냉이 범벅을 해주십니다. 먹을 때마다 괴롭네요,밥 에   고 추 냉 이   수 벅 을   해 주 십 니 다 .   아 을   때   다   비 롭 네 요
박휘이따고훼서 곡종했는대 보쥔모태서용 거런데 위불들이 넘흐 둬럽.. 멀휘카락 붙어있고 얼룩이꼬 굴헤요 넘집집해서 긴팔긴바지 이버써여,s바퀴 있다고해서 걱정했는데 보진 못했어요 그런데 이불들이 너무 더럽... 머리카락 붙어있고 얼룩 있고 그래요 넘 찝찝해서 긴팔 긴바지 입었어요,고   얼 룩   늬 고   그 래 요   팔   놓 찝 해 서   긴 팔 팔 개 바 지   입 었 어 요
"솨즨에 소그지마세요데스 일단 방이 주낸 조바요데스네 냄새와 혼또니 스메리, 건물내므새므는 우리 자취방보다 더함곰팽이 꽃을 피귀 최적화되어있는 환경.",s사진에 속지마세요. 일단 방이 정말 좁아요. 냄새가 정말 심하고 건물 냄새는 우리 자취방보다 더함. 곰팡이 꽃을 피기 최적화되어있는 환경.,취 방 보 다   더 함 .   곰 팡 이   줇 을   피 기   기 적 화 되 어 있 는   대 경 .
